Wavelength [nm]	Absorbance/Fluorescence	Baseline counts	Sample counts
499,982697	-0,423633	233,000000	618,000000
500,183685	-0,423420	235,000000	623,000000
500,384674	-0,421631	239,000000	631,000000
500,585663	-0,424163	241,000000	640,000000
500,786652	-0,423079	245,000000	649,000000
500,987640	-0,423114	248,000000	657,000000
501,188629	-0,423148	251,000000	665,000000
501,389618	-0,421475	255,000000	673,000000
501,590607	-0,423851	257,000000	682,000000
501,791595	-0,422838	261,000000	691,000000
501,992584	-0,421231	265,000000	699,000000
502,193573	-0,421898	268,000000	708,000000
502,394562	-0,424363	271,000000	720,000000
502,595551	-0,424381	274,000000	728,000000
502,796539	-0,424012	278,000000	738,000000
502,997528	-0,422490	282,000000	746,000000
503,198517	-0,422156	286,000000	756,000000
503,399506	-0,422764	289,000000	765,000000
503,600494	-0,422434	293,000000	775,000000
503,801483	-0,422113	297,000000	785,000000
504,002472	-0,421254	301,000000	794,000000
504,203461	-0,422382	304,000000	804,000000
504,404449	-0,422074	308,000000	814,000000
504,605438	-0,422111	311,000000	822,000000
504,806427	-0,422671	314,000000	831,000000
505,007416	-0,421521	319,000000	842,000000
505,208405	-0,421237	323,000000	852,000000
505,409393	-0,420776	326,000000	859,000000
505,610382	-0,420506	330,000000	869,000000
505,811371	-0,422038	333,000000	880,000000
506,012360	-0,422248	337,000000	891,000000
506,213348	-0,421005	341,000000	899,000000
506,414337	-0,421527	344,000000	908,000000
506,615326	-0,420790	348,000000	917,000000
506,816315	-0,421773	351,000000	927,000000
507,017303	-0,420583	355,000000	935,000000
507,218292	-0,420337	359,000000	945,000000
507,419281	-0,420097	363,000000	955,000000
507,620270	-0,419861	367,000000	965,000000
507,821259	-0,419631	371,000000	975,000000
508,022247	-0,418964	375,000000	984,000000
508,223236	-0,418582	378,000000	991,000000
508,424225	-0,418371	382,000000	1001,000000
508,625214	-0,417734	386,000000	1010,000000
508,826202	-0,418225	389,000000	1019,000000
509,027191	-0,417601	393,000000	1028,000000
509,228180	-0,417407	397,000000	1038,000000
509,429169	-0,419388	399,000000	1048,000000
509,630157	-0,416871	404,000000	1055,000000
509,831146	-0,417347	407,000000	1064,000000
510,032135	-0,415298	412,000000	1072,000000
510,233124	-0,416825	414,000000	1081,000000
510,434113	-0,416892	417,000000	1089,000000
510,635101	-0,415528	421,000000	1096,000000
510,836090	-0,414973	425,000000	1105,000000
511,037079	-0,415441	428,000000	1114,000000
511,238068	-0,415516	431,000000	1122,000000
511,439056	-0,414434	434,000000	1127,000000
511,640045	-0,413904	438,000000	1136,000000
511,841034	-0,413987	441,000000	1144,000000
512,041992	-0,412937	444,000000	1149,000000
512,242981	-0,412805	448,000000	1159,000000
512,443970	-0,412522	451,000000	1166,000000
512,644958	-0,412982	454,000000	1175,000000
512,845947	-0,412486	458,000000	1184,000000
513,046936	-0,412211	461,000000	1191,000000
513,247925	-0,412663	464,000000	1200,000000
513,448914	-0,412030	467,000000	1206,000000
513,649902	-0,411763	470,000000	1213,000000
513,850891	-0,411293	474,000000	1222,000000
514,051880	-0,410884	476,000000	1226,000000
514,252869	-0,410980	479,000000	1234,000000
514,453857	-0,410873	483,000000	1244,000000
514,654846	-0,410274	486,000000	1250,000000
514,855835	-0,410717	489,000000	1259,000000
515,056824	-0,410666	491,000000	1264,000000
515,257812	-0,410419	494,000000	1271,000000
515,458801	-0,411049	496,000000	1278,000000
515,659790	-0,410126	499,000000	1283,000000
515,860779	-0,409212	502,000000	1288,000000
