Wavelength [nm]	Absorbance/Fluorescence	Baseline counts	Sample counts
499,982697	0,291809	233,000000	119,000000
500,183685	0,288282	235,000000	121,000000
500,384674	0,288493	239,000000	123,000000
500,585663	0,285107	241,000000	125,000000
500,786652	0,281956	245,000000	128,000000
500,987640	0,283862	248,000000	129,000000
501,188629	0,282402	251,000000	131,000000
501,389618	0,282689	255,000000	133,000000
501,590607	0,279599	257,000000	135,000000
501,791595	0,279920	261,000000	137,000000
501,992584	0,280231	265,000000	139,000000
502,193573	0,278916	268,000000	141,000000
502,394562	0,277633	271,000000	143,000000
502,595551	0,276383	274,000000	145,000000
502,796539	0,276727	278,000000	147,000000
502,997528	0,277063	282,000000	149,000000
503,198517	0,277389	286,000000	151,000000
503,399506	0,276206	289,000000	153,000000
503,600494	0,279347	293,000000	154,000000
503,801483	0,279632	297,000000	156,000000
504,002472	0,282667	301,000000	157,000000
504,203461	0,284216	304,000000	158,000000
504,404449	0,281725	308,000000	161,000000
504,605438	0,280573	311,000000	163,000000
504,806427	0,282086	314,000000	164,000000
505,007416	0,283683	319,000000	166,000000
505,208405	0,283893	323,000000	168,000000
505,409393	0,285331	326,000000	169,000000
505,610382	0,285518	330,000000	171,000000
505,811371	0,286916	333,000000	172,000000
506,012360	0,287081	337,000000	174,000000
506,213348	0,287242	341,000000	176,000000
506,414337	0,286138	344,000000	178,000000
506,615326	0,288726	348,000000	179,000000
506,816315	0,287629	351,000000	181,000000
507,017303	0,290157	355,000000	182,000000
507,218292	0,292643	359,000000	183,000000
507,419281	0,295089	363,000000	184,000000
507,620270	0,299848	367,000000	184,000000
507,821259	0,304556	371,000000	184,000000
508,022247	0,306860	375,000000	185,000000
508,223236	0,310320	378,000000	185,000000
508,424225	0,310222	382,000000	187,000000
508,625214	0,310125	386,000000	189,000000
508,826202	0,311196	389,000000	190,000000
509,027191	0,311091	393,000000	192,000000
509,228180	0,306534	397,000000	196,000000
509,429169	0,304308	399,000000	198,000000
509,630157	0,305351	404,000000	200,000000
509,831146	0,302098	407,000000	203,000000
510,032135	0,301030	412,000000	206,000000
510,233124	0,296854	414,000000	209,000000
510,434113	0,297917	417,000000	210,000000
510,635101	0,297946	421,000000	212,000000
510,836090	0,300009	425,000000	213,000000
511,037079	0,299005	428,000000	215,000000
511,238068	0,300024	431,000000	216,000000
511,439056	0,301030	434,000000	217,000000
511,640045	0,303018	438,000000	218,000000
511,841034	0,303994	441,000000	219,000000
512,041992	0,306939	444,000000	219,000000
