Wavelength [nm]	Absorbance/Fluorescence	Baseline counts	Sample counts
499,982697	-0,372216	233,000000	549,000000
500,183685	-0,373225	235,000000	555,000000
500,384674	-0,371338	239,000000	562,000000
500,585663	-0,373095	241,000000	569,000000
500,786652	-0,370502	245,000000	575,000000
500,987640	-0,371217	248,000000	583,000000
501,188629	-0,371178	251,000000	590,000000
501,389618	-0,369434	255,000000	597,000000
501,590607	-0,371104	257,000000	604,000000
501,791595	-0,370111	261,000000	612,000000
501,992584	-0,368445	265,000000	619,000000
502,193573	-0,368440	268,000000	626,000000
502,394562	-0,368434	271,000000	633,000000
502,595551	-0,369107	274,000000	641,000000
502,796539	-0,367530	278,000000	648,000000
502,997528	-0,366655	282,000000	656,000000
503,198517	-0,365148	286,000000	663,000000
503,399506	-0,365825	289,000000	671,000000
503,600494	-0,364362	293,000000	678,000000
503,801483	-0,363568	297,000000	686,000000
504,002472	-0,362793	301,000000	694,000000
504,203461	-0,363464	304,000000	702,000000
504,404449	-0,362096	308,000000	709,000000
504,605438	-0,362153	311,000000	716,000000
504,806427	-0,363408	314,000000	725,000000
505,007416	-0,361313	319,000000	733,000000
505,208405	-0,360029	323,000000	740,000000
505,409393	-0,360684	326,000000	748,000000
505,610382	-0,359433	330,000000	755,000000
505,811371	-0,359511	333,000000	762,000000
506,012360	-0,358861	337,000000	770,000000
506,213348	-0,358225	341,000000	778,000000
506,414337	-0,357758	344,000000	784,000000
506,615326	-0,357146	348,000000	792,000000
506,816315	-0,356696	351,000000	798,000000
507,017303	-0,356107	355,000000	806,000000
507,218292	-0,354996	359,000000	813,000000
507,419281	-0,353907	363,000000	820,000000
507,620270	-0,352839	367,000000	827,000000
507,821259	-0,351792	371,000000	834,000000
508,022247	-0,351281	375,000000	842,000000
508,223236	-0,351416	378,000000	849,000000
508,424225	-0,350410	382,000000	856,000000
508,625214	-0,348920	386,000000	862,000000
508,826202	-0,349070	389,000000	869,000000
509,027191	-0,348112	393,000000	876,000000
509,228180	-0,347170	397,000000	883,000000
509,429169	-0,348905	399,000000	891,000000
509,630157	-0,346411	404,000000	897,000000
509,831146	-0,347054	407,000000	905,000000
510,032135	-0,344621	412,000000	911,000000
510,233124	-0,345842	414,000000	918,000000
510,434113	-0,346006	417,000000	925,000000
510,635101	-0,345134	421,000000	932,000000
510,836090	-0,344277	425,000000	939,000000
511,037079	-0,343988	428,000000	945,000000
511,238068	-0,344160	431,000000	952,000000
511,439056	-0,343876	434,000000	958,000000
511,640045	-0,343053	438,000000	965,000000
511,841034	-0,343228	441,000000	972,000000
512,041992	-0,342956	444,000000	978,000000
512,242981	-0,343039	448,000000	987,000000
512,443970	-0,343647	451,000000	995,000000
512,644958	-0,343812	454,000000	1002,000000
512,845947	-0,343026	458,000000	1009,000000
513,046936	-0,341480	461,000000	1012,000000
513,247925	-0,341230	464,000000	1018,000000
513,448914	-0,341407	467,000000	1025,000000
513,649902	-0,340739	470,000000	1030,000000
513,850891	-0,340419	474,000000	1038,000000
514,051880	-0,341094	476,000000	1044,000000
514,252869	-0,341267	479,000000	1051,000000
514,453857	-0,340539	483,000000	1058,000000
514,654846	-0,340713	486,000000	1065,000000
514,855835	-0,340481	489,000000	1071,000000
515,056824	-0,340327	491,000000	1075,000000
515,257812	-0,340500	494,000000	1082,000000
515,458801	-0,341147	496,000000	1088,000000
515,659790	-0,340520	499,000000	1093,000000
515,860779	-0,339899	502,000000	1098,000000
516,061768	-0,340539	504,000000	1104,000000
516,262756	-0,340315	507,000000	1110,000000
516,463745	-0,339705	510,000000	1115,000000
516,664734	-0,340262	513,000000	1123,000000
516,865723	-0,340429	516,000000	1130,000000
517,066711	-0,340283	518,000000	1134,000000
517,267700	-0,338090	522,000000	1137,000000
517,468689	-0,338335	524,000000	1142,000000
517,669678	-0,338578	526,000000	1147,000000
517,870667	-0,338374	529,000000	1153,000000
518,071655	-0,337797	532,000000	1158,000000
518,272644	-0,337665	534,000000	1162,000000
518,473633	-0,338650	536,000000	1169,000000
518,674622	-0,338516	538,000000	1173,000000
518,875610	-0,337210	541,000000	1176,000000
519,076599	-0,337082	543,000000	1180,000000
519,277588	-0,336588	545,000000	1183,000000
519,478577	-0,336463	547,000000	1187,000000
519,679565	-0,336339	549,000000	1191,000000
519,880554	-0,336216	551,000000	1195,000000
520,081543	-0,334947	554,000000	1198,000000
520,282532	-0,334468	556,000000	1201,000000
520,483521	-0,333992	558,000000	1204,000000
520,684509	-0,334597	560,000000	1210,000000
520,885498	-0,334482	562,000000	1214,000000
521,086487	-0,333654	564,000000	1216,000000
521,287476	-0,333543	566,000000	1220,000000
521,488464	-0,333843	567,000000	1223,000000
521,689453	-0,333732	569,000000	1227,000000
521,890442	-0,333622	571,000000	1231,000000
522,091431	-0,333512	573,000000	1235,000000
522,292419	-0,334159	574,000000	1239,000000
522,493408	-0,334049	576,000000	1243,000000
522,694397	-0,334287	578,000000	1248,000000
522,895386	-0,334176	580,000000	1252,000000
523,096375	-0,333721	582,000000	1255,000000
523,297363	-0,333613	584,000000	1259,000000
523,498352	-0,334247	585,000000	1263,000000
523,699341	-0,334879	586,000000	1267,000000
523,900330	-0,334768	588,000000	1271,000000
524,101318	-0,335395	589,000000	1275,000000
524,302307	-0,335679	590,000000	1278,000000
524,503296	-0,336301	591,000000	1282,000000
524,704285	-0,335792	594,000000	1287,000000
524,905273	-0,336409	595,000000	1291,000000
525,106262	-0,337023	596,000000	1295,000000
525,307251	-0,337635	597,000000	1299,000000
525,508240	-0,337518	599,000000	1303,000000
525,709229	-0,337792	600,000000	1306,000000
525,910217	-0,338065	601,000000	1309,000000
526,111206	-0,338006	602,000000	1311,000000
526,312195	-0,337558	604,000000	1314,000000
526,513184	-0,337501	605,000000	1316,000000
526,714172	-0,337443	606,000000	1318,000000
526,915161	-0,337056	607,000000	1319,000000
