Wavelength [nm]	Absorbance/Fluorescence	Baseline counts	Sample counts
499,982697	0,168699	233,000000	158,000000
500,183685	0,172411	235,000000	158,000000
500,384674	0,171572	239,000000	161,000000
500,585663	0,167173	241,000000	164,000000
500,786652	0,169058	245,000000	166,000000
500,987640	0,169142	248,000000	168,000000
501,188629	0,169225	251,000000	170,000000
501,389618	0,171012	255,000000	172,000000
501,590607	0,169384	257,000000	174,000000
501,791595	0,168667	261,000000	177,000000
501,992584	0,170393	265,000000	179,000000
502,193573	0,170456	268,000000	181,000000
502,394562	0,168151	271,000000	184,000000
502,595551	0,165909	274,000000	187,000000
502,796539	0,167583	278,000000	189,000000
502,997528	0,169216	282,000000	191,000000
503,198517	0,166331	286,000000	195,000000
503,399506	0,168642	289,000000	196,000000
503,600494	0,170202	293,000000	198,000000
503,801483	0,169560	297,000000	201,000000
504,002472	0,168936	301,000000	204,000000
504,203461	0,169006	304,000000	206,000000
504,404449	0,170487	308,000000	208,000000
504,605438	0,172614	311,000000	209,000000
504,806427	0,170594	314,000000	212,000000
505,007416	0,171352	319,000000	215,000000
505,208405	0,172743	323,000000	217,000000
505,409393	0,170795	326,000000	220,000000
505,610382	0,172161	330,000000	222,000000
505,811371	0,170262	333,000000	225,000000
506,012360	0,171604	337,000000	227,000000
506,213348	0,172919	341,000000	229,000000
506,414337	0,171070	344,000000	232,000000
506,615326	0,172363	348,000000	234,000000
506,816315	0,174239	351,000000	235,000000
507,017303	0,175480	355,000000	237,000000
507,218292	0,178517	359,000000	238,000000
507,419281	0,181509	363,000000	239,000000
507,620270	0,182649	367,000000	241,000000
507,821259	0,185559	371,000000	242,000000
508,022247	0,190216	375,000000	242,000000
508,223236	0,190102	378,000000	244,000000
508,424225	0,192897	382,000000	245,000000
508,625214	0,190388	386,000000	249,000000
508,826202	0,193750	389,000000	249,000000
509,027191	0,191272	393,000000	253,000000
509,228180	0,192250	397,000000	255,000000
509,429169	0,191040	399,000000	257,000000
509,630157	0,191408	404,000000	260,000000
509,831146	0,191293	407,000000	262,000000
510,032135	0,193293	412,000000	264,000000
510,233124	0,193754	414,000000	265,000000
510,434113	0,193625	417,000000	267,000000
510,635101	0,194530	421,000000	269,000000
510,836090	0,195420	425,000000	271,000000
511,037079	0,198474	428,000000	271,000000
511,238068	0,196727	431,000000	274,000000
511,439056	0,198157	434,000000	275,000000
511,640045	0,198994	438,000000	277,000000
511,841034	0,200394	441,000000	278,000000
512,041992	0,198677	444,000000	281,000000
512,242981	0,197960	448,000000	284,000000
512,443970	0,199332	451,000000	285,000000
512,644958	0,200690	454,000000	286,000000
512,845947	0,201473	458,000000	288,000000
513,046936	0,204308	461,000000	288,000000
513,247925	0,205620	464,000000	289,000000
513,448914	0,205424	467,000000	291,000000
513,649902	0,205230	470,000000	293,000000
513,850891	0,208911	474,000000	293,000000
514,051880	0,207785	476,000000	295,000000
514,252869	0,210514	479,000000	295,000000
514,453857	0,211191	483,000000	297,000000
514,654846	0,213880	486,000000	297,000000
514,855835	0,213638	489,000000	299,000000
515,056824	0,213960	491,000000	300,000000
515,257812	0,213720	494,000000	302,000000
515,458801	0,211182	496,000000	305,000000
515,659790	0,212379	499,000000	306,000000
515,860779	0,210745	502,000000	309,000000
516,061768	0,211069	504,000000	310,000000
516,262756	0,210853	507,000000	312,000000
516,463745	0,212026	510,000000	313,000000
516,664734	0,211807	513,000000	315,000000
516,865723	0,211590	516,000000	317,000000
517,066711	0,211903	518,000000	318,000000
517,267700	0,213880	522,000000	319,000000
517,468689	0,214181	524,000000	320,000000
517,669678	0,214481	526,000000	321,000000
517,870667	0,216951	529,000000	321,000000
518,071655	0,219407	532,000000	321,000000
518,272644	0,221036	534,000000	321,000000
518,473633	0,222660	536,000000	321,000000
518,674622	0,226992	538,000000	319,000000
518,875610	0,230770	541,000000	318,000000
519,076599	0,232373	543,000000	318,000000
519,277588	0,236709	545,000000	316,000000
519,478577	0,239677	547,000000	315,000000
519,679565	0,244028	549,000000	313,000000
519,880554	0,244222	551,000000	314,000000
520,081543	0,243823	554,000000	316,000000
520,282532	0,244016	556,000000	317,000000
520,483521	0,244207	558,000000	318,000000
520,684509	0,241683	560,000000	321,000000
520,885498	0,240534	562,000000	323,000000
521,086487	0,240734	564,000000	324,000000
521,287476	0,240933	566,000000	325,000000
