Wavelength [nm]	Absorbance/Fluorescence	Baseline counts	Sample counts
499,982697	0,561176	233,000000	64,000000
500,183685	0,558155	235,000000	65,000000
500,384674	0,558854	239,000000	66,000000
500,585663	0,555942	241,000000	67,000000
500,786652	0,556657	245,000000	68,000000
500,987640	0,555603	248,000000	69,000000
501,188629	0,554576	251,000000	70,000000
501,389618	0,549208	255,000000	72,000000
501,590607	0,552601	257,000000	72,000000
501,791595	0,547409	261,000000	74,000000
501,992584	0,542432	265,000000	76,000000
502,193573	0,541644	268,000000	77,000000
502,394562	0,540875	271,000000	78,000000
502,595551	0,540123	274,000000	79,000000
502,796539	0,540955	278,000000	80,000000
502,997528	0,541764	282,000000	81,000000
503,198517	0,537288	286,000000	83,000000
503,399506	0,536619	289,000000	84,000000
503,600494	0,537449	293,000000	85,000000
503,801483	0,538258	297,000000	86,000000
504,002472	0,539047	301,000000	87,000000
504,203461	0,538391	304,000000	88,000000
504,404449	0,539161	308,000000	89,000000
504,605438	0,538518	311,000000	90,000000
504,806427	0,542687	314,000000	90,000000
505,007416	0,544749	319,000000	91,000000
505,208405	0,540720	323,000000	93,000000
505,409393	0,540090	326,000000	94,000000
505,610382	0,540790	330,000000	95,000000
505,811371	0,540173	333,000000	96,000000
506,012360	0,540858	337,000000	97,000000
506,213348	0,541528	341,000000	98,000000
506,414337	0,540923	344,000000	99,000000
506,615326	0,541579	348,000000	100,000000
506,816315	0,540986	351,000000	101,000000
507,017303	0,541628	355,000000	102,000000
507,218292	0,546494	359,000000	102,000000
507,419281	0,551306	363,000000	102,000000
507,620270	0,556066	367,000000	102,000000
507,821259	0,565053	371,000000	101,000000
508,022247	0,569710	375,000000	101,000000
508,223236	0,568892	378,000000	102,000000
508,424225	0,573463	382,000000	102,000000
508,625214	0,573750	386,000000	103,000000
508,826202	0,572916	389,000000	104,000000
509,027191	0,573203	393,000000	105,000000
509,228180	0,569407	397,000000	107,000000
509,429169	0,567549	399,000000	108,000000
509,630157	0,564989	404,000000	110,000000
509,831146	0,564271	407,000000	111,000000
510,032135	0,569574	412,000000	111,000000
510,233124	0,567782	414,000000	112,000000
510,434113	0,567058	417,000000	113,000000
510,635101	0,571204	421,000000	113,000000
510,836090	0,571484	425,000000	114,000000
511,037079	0,574539	428,000000	114,000000
511,238068	0,577572	431,000000	114,000000
511,439056	0,576792	434,000000	115,000000
511,640045	0,577016	438,000000	116,000000
511,841034	0,579981	441,000000	116,000000
512,041992	0,575501	444,000000	118,000000
512,242981	0,579396	448,000000	118,000000
512,443970	0,578630	451,000000	119,000000
512,644958	0,581509	454,000000	119,000000
512,845947	0,581684	458,000000	120,000000
513,046936	0,584520	461,000000	120,000000
513,247925	0,587337	464,000000	120,000000
513,448914	0,586532	467,000000	121,000000
513,649902	0,589312	470,000000	121,000000
513,850891	0,592993	474,000000	121,000000
514,051880	0,594822	476,000000	121,000000
514,252869	0,593976	479,000000	122,000000
514,453857	0,597587	483,000000	122,000000
514,654846	0,600276	486,000000	122,000000
514,855835	0,602949	489,000000	122,000000
515,056824	0,604722	491,000000	122,000000
515,257812	0,603822	494,000000	123,000000
515,458801	0,602060	496,000000	124,000000
515,659790	0,601191	499,000000	125,000000
515,860779	0,596900	502,000000	127,000000
516,061768	0,595221	504,000000	128,000000
516,262756	0,591065	507,000000	130,000000
516,463745	0,590299	510,000000	131,000000
516,664734	0,589543	513,000000	132,000000
516,865723	0,588798	516,000000	133,000000
517,066711	0,590478	518,000000	133,000000
517,267700	0,590566	522,000000	134,000000
517,468689	0,595480	524,000000	133,000000
517,669678	0,597134	526,000000	133,000000
517,870667	0,599604	529,000000	133,000000
518,071655	0,605338	532,000000	132,000000
518,272644	0,610270	534,000000	131,000000
518,473633	0,618575	536,000000	129,000000
518,674622	0,620193	538,000000	129,000000
518,875610	0,629394	541,000000	127,000000
519,076599	0,637890	543,000000	125,000000
519,277588	0,642975	545,000000	124,000000
519,478577	0,651627	547,000000	122,000000
519,679565	0,656787	549,000000	121,000000
519,880554	0,658366	551,000000	121,000000
520,081543	0,660724	554,000000	121,000000
520,282532	0,658715	556,000000	122,000000
520,483521	0,660274	558,000000	122,000000
520,684509	0,654766	560,000000	124,000000
520,885498	0,652826	562,000000	125,000000
521,086487	0,654369	564,000000	125,000000
521,287476	0,655906	566,000000	125,000000
521,488464	0,656673	567,000000	125,000000
521,689453	0,658202	569,000000	125,000000
521,890442	0,659726	571,000000	125,000000
522,091431	0,664733	573,000000	124,000000
522,292419	0,665490	574,000000	124,000000
522,493408	0,667001	576,000000	124,000000
522,694397	0,665018	578,000000	125,000000
522,895386	0,666518	580,000000	125,000000
523,096375	0,661119	582,000000	127,000000
523,297363	0,659203	584,000000	128,000000
523,498352	0,656566	585,000000	129,000000
523,699341	0,647324	586,000000	132,000000
523,900330	0,642273	588,000000	134,000000
524,101318	0,633395	589,000000	137,000000
524,302307	0,627837	590,000000	139,000000
524,503296	0,619299	591,000000	142,000000
524,704285	0,615424	594,000000	144,000000
524,905273	0,613149	595,000000	145,000000
525,106262	0,613878	596,000000	145,000000
525,307251	0,614606	597,000000	145,000000
525,508240	0,619064	599,000000	144,000000
525,709229	0,622815	600,000000	143,000000
525,910217	0,626586	601,000000	142,000000
526,111206	0,630377	602,000000	141,000000
526,312195	0,634909	604,000000	140,000000
526,513184	0,638741	605,000000	139,000000
526,714172	0,639458	606,000000	139,000000
526,915161	0,640174	607,000000	139,000000
527,116150	0,637776	608,000000	140,000000
527,317139	0,640889	608,000000	139,000000
527,518127	0,642315	610,000000	139,000000
527,719116	0,646162	611,000000	138,000000
527,920105	0,650031	612,000000	137,000000
528,121094	0,650740	613,000000	137,000000
528,322083	0,654629	614,000000	136,000000
528,523071	0,657835	614,000000	135,000000
528,724060	0,655336	615,000000	136,000000
528,925049	0,652860	616,000000	137,000000
529,126038	0,650406	617,000000	138,000000
529,327026	0,644860	618,000000	140,000000
529,528015	0,638700	618,000000	142,000000
529,729004	0,630323	619,000000	145,000000
529,929993	0,625074	620,000000	147,000000
530,130981	0,617000	621,000000	150,000000
530,331970	0,608400	621,000000	153,000000
530,532959	0,599967	621,000000	156,000000
530,733948	0,592393	622,000000	159,000000
530,934937	0,584275	622,000000	162,000000
531,135925	0,574380	623,000000	166,000000
531,336914	0,569179	623,000000	168,000000
531,537903	0,561492	623,000000	171,000000
531,738892	0,557139	624,000000	173,000000
531,939880	0,554635	624,000000	174,000000
532,140869	0,550367	625,000000	176,000000
532,341858	0,547211	624,000000	177,000000
532,542847	0,543027	625,000000	179,000000
532,743835	0,538201	625,000000	181,000000
532,944824	0,536503	626,000000	182,000000
533,145813	0,534123	626,000000	183,000000
533,346802	0,531757	626,000000	184,000000
533,547791	0,530096	627,000000	185,000000
533,748779	0,530096	627,000000	185,000000
533,949768	0,527755	627,000000	186,000000
534,150757	0,527755	627,000000	186,000000
534,351746	0,527755	627,000000	186,000000
534,552734	0,527755	627,000000	186,000000
534,753723	0,530096	627,000000	185,000000
534,954712	0,532450	627,000000	184,000000
535,155701	0,532450	627,000000	184,000000
535,356689	0,537196	627,000000	182,000000
535,557678	0,537196	627,000000	182,000000
535,758667	0,539589	627,000000	181,000000
535,959656	0,539589	627,000000	181,000000
536,160645	0,537888	628,000000	182,000000
536,361633	0,537196	627,000000	182,000000
536,562622	0,534816	627,000000	183,000000
536,763611	0,532450	627,000000	184,000000
536,964600	0,530096	627,000000	185,000000
537,165588	0,527755	627,000000	186,000000
537,366577	0,527755	627,000000	186,000000
537,567566	0,525426	627,000000	187,000000
537,768494	0,523110	627,000000	188,000000
537,969482	0,520806	627,000000	189,000000
538,170471	0,520113	626,000000	189,000000
538,371460	0,520113	626,000000	189,000000
538,572449	0,517821	626,000000	190,000000
538,773437	0,515541	626,000000	191,000000
538,974426	0,513273	626,000000	192,000000
539,175415	0,511017	626,000000	193,000000
539,376404	0,505845	625,000000	195,000000
539,577393	0,501414	625,000000	197,000000
539,778381	0,499215	625,000000	198,000000
539,979370	0,494155	624,000000	200,000000
540,180359	0,493458	623,000000	200,000000
540,381348	0,489833	624,000000	202,000000
540,582336	0,486992	623,000000	203,000000
540,783325	0,486992	623,000000	203,000000
540,984314	0,488439	622,000000	202,000000
541,185303	0,486992	623,000000	203,000000
541,386292	0,488439	622,000000	202,000000
541,587280	0,487740	621,000000	202,000000
541,788269	0,489896	621,000000	201,000000
541,989258	0,491362	620,000000	200,000000
542,190247	0,491362	620,000000	200,000000
542,391235	0,493539	620,000000	199,000000
542,592224	0,492838	619,000000	199,000000
542,793213	0,497224	619,000000	197,000000
542,994202	0,498732	618,000000	196,000000
543,195190	0,500251	617,000000	195,000000
543,396179	0,502483	617,000000	194,000000
543,597168	0,504728	617,000000	193,000000
543,798157	0,506279	616,000000	192,000000
543,999146	0,507842	615,000000	191,000000
544,200134	0,510122	615,000000	190,000000
544,401123	0,512413	615,000000	189,000000
544,602112	0,513303	613,000000	188,000000
544,803101	0,515619	613,000000	187,000000
545,004089	0,515619	613,000000	187,000000
545,205078	0,519580	612,000000	185,000000
545,406067	0,524300	612,000000	183,000000
545,607056	0,528363	611,000000	181,000000
545,808044	0,530769	611,000000	180,000000
546,009033	0,536644	609,000000	177,000000
546,210022	0,540866	608,000000	175,000000
546,411011	0,545857	608,000000	173,000000
546,612000	0,553455	608,000000	170,000000
546,812988	0,563081	607,000000	166,000000
547,013977	0,567629	606,000000	164,000000
547,214966	0,583098	605,000000	158,000000
547,415955	0,594235	605,000000	154,000000
547,616943	0,610775	604,000000	148,000000
547,817932	0,628749	604,000000	142,000000
548,018921	0,649263	602,000000	135,000000
548,219910	0,669007	602,000000	129,000000
548,420898	0,692515	601,000000	122,000000
548,621887	0,713693	600,000000	116,000000
548,822876	0,732104	599,000000	111,000000
549,023865	0,747317	598,000000	107,000000
549,224854	0,758941	597,000000	104,000000
549,425842	0,762409	596,000000	103,000000
549,626831	0,766646	596,000000	102,000000
549,827820	0,761680	595,000000	103,000000
550,028809	0,756753	594,000000	104,000000
550,229797	0,747749	593,000000	106,000000
550,430786	0,734895	592,000000	109,000000
550,631775	0,718509	591,000000	113,000000
550,832764	0,699705	591,000000	118,000000
551,033752	0,677430	590,000000	124,000000
551,234741	0,656172	589,000000	130,000000
551,435730	0,633395	589,000000	137,000000
551,636719	0,611015	588,000000	144,000000
551,837708	0,592547	587,000000	150,000000
552,038696	0,574773	586,000000	156,000000
552,239685	0,563036	585,000000	160,000000
552,440674	0,551569	584,000000	164,000000
552,641663	0,546305	584,000000	166,000000
552,842651	0,542952	583,000000	167,000000
553,043640	0,542952	583,000000	167,000000
553,244629	0,546692	581,000000	165,000000
553,445618	0,551240	580,000000	163,000000
553,646606	0,562031	580,000000	159,000000
553,847595	0,571596	578,000000	155,000000
554,048584	0,585085	577,000000	150,000000
554,249573	0,599808	577,000000	145,000000
554,450562	0,616653	575,000000	139,000000
554,651550	0,639094	575,000000	132,000000
554,852539	0,655108	574,000000	127,000000
555,053528	0,675369	573,000000	121,000000
555,254517	0,696698	572,000000	115,000000
555,455505	0,719210	571,000000	109,000000
555,656494	0,747275	570,000000	102,000000
555,857483	0,778151	570,000000	95,000000
556,058472	0,805722	569,000000	89,000000
556,259460	0,835270	568,000000	83,000000
556,460449	0,861488	567,000000	78,000000
556,661438	0,877755	566,000000	75,000000
556,862427	0,887956	564,000000	73,000000
557,063416	0,887186	563,000000	73,000000
557,264404	0,881277	563,000000	74,000000
557,465393	0,856868	561,000000	78,000000
557,666382	0,823909	560,000000	84,000000
557,867371	0,789147	560,000000	91,000000
558,068359	0,742313	558,000000	101,000000
558,269348	0,700532	557,000000	111,000000
558,470337	0,655950	557,000000	123,000000
558,671326	0,617970	556,000000	134,000000
558,872314	0,582142	554,000000	145,000000
559,073303	0,555989	554,000000	154,000000
559,274292	0,532424	552,000000	162,000000
559,475281	0,513265	551,000000	169,000000
559,676270	0,499813	550,000000	174,000000
